Genre,avg_rating,num_ratings
Comedy,3.517588076248964,220803
Drama,3.7657969235279567,218302
Action,3.4790484050830695,158723
Thriller,3.5541922116739975,117766
Sci-Fi,3.4581214493378947,97341
Romance,3.6003288925432506,89999
Adventure,3.468967693390616,82398
Crime,3.7020486451191643,49008
Horror,3.208856933108779,46314
Children's,3.415361936881603,44773
War,3.886828385745233,42007
Animation,3.6778107701895233,27279
Musical,3.6633150161736623,25659
Mystery,3.648050622576036,24495
Fantasy,3.4368813559322033,22125
Western,3.6238892002241614,12491
Film-Noir,4.0696942446043165,11120
Documentary,3.928730512249443,4939
